subsite,cabled_type
CE01ISSM,uncabled
CE01ISSP,uncabled
CE02SHBP,cabled
CE02SHSM,uncabled
CE02SHSP,uncabled
CE04OSBP,cabled
CE04OSPD,cabled
CE04OSPS,cabled
CE04OSSM,uncabled
CE05MOAS,uncabled
CE06ISSM,uncabled
CE07SHSM,uncabled
CE07SHSP,uncabled
CE09OSPM,uncabled
CE09OSSM,uncabled
CP01CNSM,uncabled
CP02PMCI,uncabled
CP02PMCO,uncabled
CP02PMUI,uncabled
CP02PMUO,uncabled
CP03ISSM,uncabled
CP04OSPM,uncabled
CP04OSSM,uncabled
CP05MOAS,uncabled
GA01SUMO,uncabled
GI01SUMO,uncabled
GI02HYPM,uncabled
GI03FLMA,uncabled
GP02HYPM,uncabled
GP03FLMA,uncabled
GP03FLMB,uncabled
GP05MOAS,uncabled
GS01SUMO,uncabled
RS01SBPS,cabled
RS01SLBS,cabled
RS01SUM1,cabled
RS01SUM2,cabled
RS03ASHS,cabled
RS03AXBS,cabled
RS03AXPS,cabled
RS03CCAL,cabled
RS03ECAL,cabled
RS03INT1,cabled
RS03INT2,cabled
